,Function,Neuron,Weight,Neurotransmitter
0,mechanosensory,ADEL,1,Dopamine
1,mechanosensory,ADER,1,Dopamine
2,chemosensory|gpg-food,ADFL,1,Serotonin
3,chemosensory|gpg-food,ADFR,1,Serotonin
4,chemosensory|odorsensory|nociceptive,ADLL,1,FMRFamide
5,chemosensory|odorsensory|nociceptive,ADLR,1,FMRFamide
6,thermosensory,AFDL,1,Glutamate
7,thermosensory,AFDR,1,Glutamate
8,mechanosensory,ALML,1,Glutamate
9,mechanosensory,ALMR,1,Glutamate
10,mechanosensory,ALNL,1,Acetylcholine
11,mechanosensory,ALNR,1,Acetylcholine
12,oxygen_sensor,AQR,1,Glutamate
13,chemosensory,ASEL,1,FMRFamide
14,chemosensory,ASER,1,FMRFamide
15,chemosensory|gpg-food,ASGL,1,Glutamate
16,chemosensory|gpg-food,ASGR,1,Glutamate
17,osmosensory|mechanosensory|odorsensory|nociceptive|gpg-nose,ASHL,1,Glutamate
18,osmosensory|mechanosensory|odorsensory|nociceptive|gpg-nose,ASHR,1,Glutamate
19,chemosensory|gpg-food,ASIL,1,Glutamate
20,chemosensory|gpg-food,ASIR,1,Glutamate
21,chemosensory|gpg-food,ASJL,1,Glutamate
22,chemosensory|gpg-food,ASJR,1,Glutamate
23,chemosensory,ASKL,1,Glutamate
24,chemosensory,ASKR,1,Glutamate
25,Ventral-cord-interneuron|few-synapses,AVG,1,Glutamate
26,mechanosensory,AVM,1,Glutamate
27,odorsensory,AWAL,1,Serotonin
28,odorsensory,AWAR,1,Serotonin
29,odorsensory,AWBL,1,Glutamate
30,odorsensory,AWBR,1,Glutamate
31,odorsensory,AWCL,1,Glutamate
32,odorsensory,AWCR,1,Glutamate
33,Neuron|ciliated-ending-in-head|no-supporting-cells|associated-with-ILso,BAGL,1,Glutamate
34,Neuron|ciliated-ending-in-head|no-supporting-cells|associated-with-ILso,BAGR,1,Glutamate
35,putative_mechanosensory,CEPDL,1,Dopamine
36,putative_mechanosensory,CEPDR,1,Dopamine
37,putative_mechanosensory,CEPVL,1,Dopamine
38,putative_mechanosensory,CEPVR,1,Dopamine
39,mechanosensory|gpg-nose,FLPL,1,Glutamate
40,mechanosensory|gpg-nose,FLPR,1,Glutamate
41,mechanosensory|inter-labial-neuron,IL1DL,1,Glutamate
42,mechanosensory|inter-labial-neuron,IL1DR,1,Glutamate
43,mechanosensory|inter-labial-neuron,IL1L,1,Glutamate
44,mechanosensory|inter-labial-neuron,IL1R,1,Glutamate
45,mechanosensory|gpg-nose,IL1VL,1,Glutamate
46,mechanosensory|gpg-nose,IL1VR,1,Glutamate
47,chemosensory|inter-labial-neuron,IL2DL,1,Serotonin
48,chemosensory|inter-labial-neuron,IL2DR,1,Serotonin
49,chemosensory|inter-labial-neuron,IL2L,1,Serotonin
50,chemosensory|inter-labial-neuron,IL2R,1,Serotonin
51,chemosensory|inter-labial-neuron,IL2VL,1,Serotonin
52,chemosensory|inter-labial-neuron,IL2VR,1,Serotonin
53,putative_mechanosensory,OLLL,1,Tyramine
54,putative_mechanosensory,OLLR,1,Tyramine
55,mechanosensory|gpg-nose,OLQDL,1,Glutamate
56,mechanosensory|gpg-nose,OLQDR,1,Glutamate
57,mechanosensory|gpg-nose,OLQVL,1,Glutamate
58,mechanosensory|gpg-nose,OLQVR,1,Glutamate
59,mechanosensory,PDEL,1,Dopamine
60,mechanosensory,PDER,1,Dopamine
61,chemosensory,PHAL,1,Glutamate
62,chemosensory,PHAR,1,Glutamate
63,chemosensory,PHBL,1,Serotonin
64,chemosensory,PHBR,1,Serotonin
65,mechanosensory,PHCL,1,Dopamine
66,mechanosensory,PHCR,1,Dopamine
67,mechanosensory,PLML,1,Glutamate
68,mechanosensory,PLMR,1,Glutamate
69,interneuron,PLNL,1,Acetylcholine
70,interneuron,PLNR,1,Acetylcholine
71,oxygen_sensor|putative_mechanosensory,PQR,1,Glutamate
72,mechanosensory,PVM,1,Glutamate
73,interneuron,PVR,1,Glutamate
74,ring-motor-neuron,URADL,1,Acetylcholine
75,ring-motor-neuron,URADR,1,Acetylcholine
76,ring-motor-neuron,URAVL,1,Acetylcholine
77,ring-motor-neuron,URAVR,1,Acetylcholine
78,neuron|presynaptic-in-ring|ending-in-head,URBL,1,Acetylcholine
79,neuron|presynaptic-in-ring|ending-in-head,URBR,1,Acetylcholine
80,oxygen_sensor,URXL,1,Glutamate
81,oxygen_sensor,URXR,1,Glutamate
82,neuron|presynaptic-in-ring|ending-in-head,URYDL,1,Serotonin
83,neuron|presynaptic-in-ring|ending-in-head,URYDR,1,Serotonin
84,neuron|presynaptic-in-ring|ending-in-head,URYVL,1,Serotonin
85,neuron|presynaptic-in-ring|ending-in-head,URYVR,1,Serotonin
